Sl.Num,ProductName,nd,AgeGroup,Gender,Sentiment,,,,,,
17,Toothbrush,https://www.amazon.in/Jordan-Toothbrush-Bristles-Latest-Malaysia/dp/B079R465QD/ref=sr_1_3?dchild=1&keywords=toothbrush+for+6+year+old&qid=1601618961&s=baby&sr=1-3,0,"1,0","3,4,1",,,,,,
18,Philips Avent 330ml Natural Feeding Bottle,https://www.amazon.in/Philips-Avent-Natural-Feeding-Bottle/dp/B013SL0DQI?ref_=Oct_s9_apbd_orecs_hd_bw_b28CVPT&pf_rd_r=9MAW3YZQQ0F6PVTVPHH6&pf_rd_p=cc714411-0e39-590a-b7b8-e4364dd27bb3&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953457031,0,"1,0","0,3,5,4,1,2,6",,,,,,
19,Baby Milk Bottle Nipple Straw Brush Sponge Nylon Cleaning Brush Cleaner Bottle Tong Set,https://www.amazon.in/Pcs-Bottle-Brush-Cleaning-Cleaner/dp/B0725QTLK6?ref_=Oct_s9_apbd_orecs_hd_bw_b28CU6p&pf_rd_r=5GTNTKP9D6G0G593T02B&pf_rd_p=6366ae60-a450-5102-ab95-80facc964d90&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953452031,0,"1,0","4,3",,,,,,
20,"LuvLap Liquid Cleanser, Anti-Bacterial, Food Grade, For Baby Bottles, Accessories and Vegetables",https://www.amazon.in/Luvlap-Anti-Bacterial-Accessories-Vegetable-Cleanser/dp/B017XL39DI?ref_=Oct_s9_apbd_obs_hd_bw_b28CU6p&pf_rd_r=5GTNTKP9D6G0G593T02B&pf_rd_p=8b78e438-679a-58af-b0d4-b2b0bcc6e500&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953452031,0,"1,0","4,3",,,,,,
21,Pigeon Peristaltic Nipple,https://www.amazon.in/Pigeon-Peristaltic-Nipple-Pieces/dp/B01IVQH0E8/ref=sr_1_25?dchild=1&qid=1601619274&s=baby&sr=1-25,0,"1,0","3,5,1,0,4",,,,,,
22,Philips Avent 3-In-1 Electric Steam Sterilizer,https://www.amazon.in/Philips-Avent-Electric-Sterilizer/dp/B07CHXSQ5V?ref_=Oct_s9_apbd_omg_hd_bw_b28CVfb&pf_rd_r=20YPK7BXVV6ADGQMRMEB&pf_rd_p=d282bd69-b7c9-5ad0-be58-b3c7fba2ae76&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953458031,0,"1,0","3,5,1,0,4",,,,,,
23,Avent Philips Therma Bag,https://www.amazon.in/Philips-Avent-Therma-Bag/dp/B01BWNFCB0?ref_=Oct_s9_apbd_omwf_hd_bw_b28CVfb&pf_rd_r=20YPK7BXVV6ADGQMRMEB&pf_rd_p=32fc207f-21db-58c4-8788-41c20910f0f7&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953458031,0,"1,0","3,4",,,,,,
24,Footprints Super soft Organic Cotton Baby Boy Girls Kids socks,https://www.amazon.in/FOOTPRINTS-Organic-Cotton-Stripes-Multicolour/dp/B074ZQMJTQ?ref_=Oct_s9_apbd_obs_hd_bw_b28BDXr&pf_rd_r=JMQCBCNNC7VN7D45FBEP&pf_rd_p=48a50d83-f716-5f3a-95b0-1d0972b1db76&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953150031,0,"1,0","3,5,4",,,,,,
25,PIKIPOO Baby Girl's and Boy's Soft Cotton Printed Caps,https://www.amazon.in/AM-Impex-Cotton-Printed-Multicolour/dp/B07L68PQ8J?ref_=Oct_s9_apbd_obs_hd_bw_b28BE47&pf_rd_r=0ASGF5W8EGAQANQZS2VA&pf_rd_p=07f9c70a-df82-51d7-874d-b9794ffece4c&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953152031,0,"1,0","3,5,0,4,1",,,,,,
26,Combo Full Sleeves Printed T-Shirts,https://www.amazon.in/Fareto%C2%AE-Quotes-Sleeves-Printed-T-Shirts/dp/B07FMB96GX?ref_=Oct_s9_apbd_obs_hd_bw_b28BQYJ&pf_rd_r=PZ4EY9TZFYVCFE3ARAW6&pf_rd_p=480a0532-f964-5e5d-9cf9-838e7215ce89&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953200031,0,1,"3,6,4",,,,,,
27,Baby Pajama Pants,https://www.amazon.in/Mini-Cult-Unisex-Cotton-Multicolor/dp/B07DQH67ST?ref_=Oct_s9_apbd_orecs_hd_bw_b28BKZL&pf_rd_r=H8XY6Q4GT0SYWDRAR49C&pf_rd_p=a036a31b-8fa0-5f77-bea4-2fef0546670e&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953177031,0,"1,0","3,5,4",,,,,,
28,Sleepsuit,https://www.amazon.in/Bumchums-Unisex-Baby-Sleepsuit-RBMBSJSJ1460000XL_Assorted-Printed_9-12/dp/B07W341NTL?ref_=Oct_s9_apbd_obs_hd_bw_b28BM87&pf_rd_r=007GB3VKYQ0RM0KAAPAQ&pf_rd_p=d6a4f13b-a743-538a-afc2-f2cb620c32c2&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953183031,0,"1,0","3,5,4",,,,,,
29,Round Neck Sweater,https://www.amazon.in/Calvus-Winter-Woollen-Sleeve-Sweater/dp/B07Y69335Z/ref=lp_1953168031_1_42?s=apparel&ie=UTF8&qid=1601621162&sr=1-42,0,"1,0","3,5,4,1",,,,,,
30,Printed Vest Baniyan Cotton Inner wear Vest for Baby Vest Kids,https://www.amazon.in/ANGAAKAR-CLOTHINGS-Printed-baniyan-Multicolor-1/dp/B07WN7NZNB?ref_=Oct_s9_apbd_otopr_hd_bw_b28BRqx&pf_rd_r=5911S2JW7XED9W36R4WK&pf_rd_p=7c5fb90b-b00a-559e-ad62-16c2eb521df6&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=1953205031,0,"1,0","3,5,4,1",,,,,,
31,Baby Girl's Printed Cotton Frock,https://www.amazon.in/shyam-collections-Cotton-Printed-Multicolour/dp/B08J42PTHH/ref=sr_1_7?dchild=1&keywords=baby+frocks&qid=1601621386&s=apparel&sr=1-7-catcorr,0,0,"3,5,4,1,6",,,,,,
32,Zoop Frozen Analog MultiColour Dial Girl's Watch,https://www.amazon.in/Zoop-Frozen-Analog-Multi-Colour-Watch-26007PP05/dp/B07DTV4K38/ref=lp_8564835031_1_16?s=watches&ie=UTF8&qid=1601621450&sr=1-16,0,0,"3,4,6",,,,,,
33,Swadesi Stuff Multi Color Army Kids Digital Watch for Boys,https://www.amazon.in/Swadesi-Stuff-Color-Digital-Watch/dp/B084GZV81Q/ref=lp_8564835031_1_6?s=watches&ie=UTF8&qid=1601621450&sr=1-6,0,1,"3,4,6",,,,,,
34,mothercare highchair - eat clean repeat,https://www.mothercare.in/baby-gear-58740/baby-entertainment-58741/high-chairs-58743/mothercare-highchair-eat-clean-repeat-1110982,0,"1,0","3,1,4,5,0,2,6",,,,,,
35,Mastela Newborn To Toddler Rocker,https://www.mothercare.in/baby-gear-58740/baby-entertainment-58741/bouncers-58742/mastela-newborn-to-toddler-rocker-7516031,0,"1,0","3,1,4,5,0,2,6",,,,,,
36,R for Rabbit Lullabies Automatic Baby Cradle,https://www.mothercare.in/baby-gear-58740/baby-entertainment-58741/swings-58744/r-for-rabbit-lullabies-automatic-baby-cradle-7518305,0,"1,0","3,1,4,5,0,2,6",,,,,,
37,mothercare ocean adventure walker,https://www.mothercare.in/baby-gear-58740/baby-entertainment-58741/walkers-58745/mothercare-ocean-adventure-walker-1110976,0,"1,0","3,1,4,5,6",,,,,,
38,Coral Stripe Frill Seersucker Swimsuit,https://www.mothercare.in/baby-fashion-58659/baby-boys-clothing-58660/swimwear-58664/coral-stripe-frill-seersucker-swimsuit-1191039,0,"1,0","3,4,6",,,,,,
39,Boys Full Sleeves Bath Robe Hooded - Blue,https://www.mothercare.in/kids-fashion-58715/boys-clothing-58716/bath-robes-58717/blue-towelling-robe-639820,0,1,"3,4,6",,,,,,
40,mothercare post partum pillow,https://www.mothercare.in/moms-maternity-58816/postpartum-care-58831/disposible-brief-58833/mothercare-post-partum-pillow-1067692,"0,1,2,3,4,5","0,1","3,5,4,6,2,0",,,,,,
41,mothercare messenger changing bag - sand,https://www.mothercare.in/moms-maternity-58816/messenger-bags-58829/changing-bag-58830/mothercare-messenger-changing-bag-sand-812110,"0,1,2,3,4,5",0,"3,5,4,6,2,0",,,,,,
42,Chicco Apple Bannana Toothpaste For Kids,https://www.mothercare.in/babycare-58753/baby-toiletries-detergent-58754/oral-care-58756/chicco-toothpaste-applebanana-6m-no-fluoride-1079606,0,"1,0","3,1,4,5,0,2,6",,,,,,
43,Natural baby sponges,https://www.mothercare.in/babycare-58753/bathing-58758/bath-accessories-58759/3-natural-baby-sponges-810629,0,"1,0","3,1,4,5,0,2,6",,,,,,
44,Confetti Party Baby Bath Tub,https://www.mothercare.in/babycare-58753/bathing-58758/bath-plastics-58760/confetti-party-bath-684751,0,"1,0","3,1,4,5,0,2,6",,,,,,
45,Slogan Toddler Bibs,https://www.mothercare.in/babycare-58753/feeding-nursing-58767/bibs-muslins-58768/mothercare-slogan-bibs-3-pack-1110880,0,"1,0","3,4,6,1",,,,,,
46,Non-Spill Toddler Cup - Blue,https://www.mothercare.in/babycare-58753/feeding-nursing-58767/utensils-cutlery-58772/mothercare-non-spill-toddler-cup-blue-684677,0,"1,0","3,4,6,1",,,,,,
47,Orthodontic Soother,https://www.mothercare.in/babycare-58753/feeding-nursing-58767/soothers-teethers-58770/mothercare-orthodontic-soothers-6-months-2-pack-1067717,0,"1,0","3,1,4,5,0,2,6",,,,,,
48,Digital Pen Thermometer,https://www.mothercare.in/babycare-58753/health-safety-58778/thermometer-58780/mothercare-digital-pen-thermometer-680826,"0,1,2,3,4,5,6,7","1,0","1,0,5,2,4,3",,,,,,
49,Mee Mee Accurate Medicine Dropper & Dispenser ,https://www.amazon.in/Mee-Accurate-Medicine-Dropper-Dispenser/dp/B08214T9VV/ref=sr_1_25?dchild=1&keywords=medicine+dropper&qid=1601625832&sr=8-25,"0,1,5,6,7","1,0","1,0,5,2,4,3",,,,,,
